Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Total Deal Amount (Crores),Valuation Requested (Crores),Deal Valuation (Crores),Deal Success,Investor Count,Equity per Lakh,Pitcher Age Group
3,WALK,14,361,22-Jan-24,31-Mar-24,08-Feb-24,Pitch Perfect,Rahul Dua,medical/health,Wearable Mobility Aid,https://www.lifesparktech.com/,2018,1,1,0,0,0,25,Mumbai,Maharashtra,0,0.0,0,0,0.0,No,0,yes,No,No,50.0,1.5,3333.333333,1,1,50.0,2.3,0,0,2173.913043,2,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.15,0.0,25.0,1.15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Unknown,1,1,1,1,0,0,1,0,0.5,33.33333333,21.73913043,1,2,21.73913043478261,<30
3,RajaRaniCoaching,14,362,22-Jan-24,31-Mar-24,08-Feb-24,Pitch Perfect,Rahul Dua,beauty/fashion,Clothes Tailoring Academy,https://www.rajaranicoaching.com/,2021,2,1,1,0,1,25,Surat,Gujarat,200,0.0,0,0,0.0,No,0,No,No,No,130.0,5.0,2600.0,1,0,0.0,0.0,0,0,0.0,0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Unknown,1,1,1,1,0,0,1,0,0.0,26.0,0.0,0,0,,<30
3,DecodeAge,14,363,22-Jan-24,31-Mar-24,08-Feb-24,Pitch Perfect,Rahul Dua,medical/health,Age Longetivity Supplements,https://decodeage.com/,2021,3,3,0,0,0,40,Bangalore,Karnataka,1100,0.0,70,0,0.0,yes,10,No,No,No,100.0,1.25,8000.0,1,1,100.0,2.25,0,0,4444.444444,1,No,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Unknown,1,1,1,1,0,0,1,0,1.0,80.0,44.44444444,1,1,44.44444444444444,30-50
3,ALittleExtra,15,364,22-Jan-24,31-Mar-24,09-Feb-24,Shark Tank Showdown,Rahul Dua,beauty/fashion,Hand Made Fabric Jewellery,https://alittleextra.co.in,Unknown,1,0,1,0,0,40,Guwahati,Assam,122,0.0,0,11,0.0,No,0,No,No,No,48.0,6.0,800.0,1,1,60.0,7.5,0,0,800.0,2,No,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.75,0.0,30.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Unknown,1,1,1,1,0,1,0,0,0.6,8.0,8.0,1,2,8.0,30-50
3,Assembly,15,365,22-Jan-24,31-Mar-24,09-Feb-24,Shark Tank Showdown,Rahul Dua,beauty/fashion,Travel Bags,https://assemblytravel.com/,2018,2,2,0,0,0,40,Gurugram,Haryana,1150,0.0,0,0,0.0,No,0,yes,No,yes,85.0,1.0,8500.0,1,0,0.0,0.0,0,0,0.0,0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Unknown,1,1,1,1,0,1,0,0,0.0,85.0,0.0,0,0,,30-50
3,NasherMiles,15,366,22-Jan-24,31-Mar-24,09-Feb-24,Shark Tank Showdown,Rahul Dua,beauty/fashion,Travel Bags,https://nashermiles.com/,2017,3,2,1,0,1,40,Mumbai,Maharashtra,5700,0.0,0,0,0.0,No,0,No,No,yes,300.0,0.75,40000.0,1,1,300.0,1.5,0,0,20000.0,5,No,1.0,300.0,0.0,60.0,0.3,0.0,60.0,0.3,0.0,60.0,0.3,0.0,60.0,0.3,0.0,0.0,0.0,0,60.0,0.3,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Unknown,1,1,1,1,0,1,0,0,3.0,400.0,200.0,1,5,200.0,30-50
3,AltCo,16,367,22-Jan-24,31-Mar-24,12-Feb-24,Innovation At Every Step,Rahul Dua,food and beverage,Plant based dairy products,https://alt.company/,2020,2,2,0,0,0,40,Bangalore,Karnataka,1000,110.0,0,0,0.0,yes,0,No,No,No,150.0,2.0,7500.0,0,0,0.0,0.0,0,0,0.0,0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,"Ronnie Screwvala,Radhika Gupta",0,0,1,1,1,0,0,2,0.0,75.0,0.0,0,0,,30-50
3,Without,16,368,22-Jan-24,31-Mar-24,12-Feb-24,Innovation At Every Step,Rahul Dua,beauty/fashion,Products made from Waste Plastic,https://without.live,2020,1,1,0,0,0,40,Pune,Maharashtra,0,0.0,0,0,0.0,No,0,yes,No,No,75.0,1.0,7500.0,1,1,75.0,3.0,0,0,2500.0,2,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,1.5,0,0.0,0.0,0.0,0.0,0.0,0,37.5,1.5,0.0,Ronnie Screwvala,"Ronnie Screwvala,Radhika Gupta",0,0,1,1,1,0,0,2,0.75,75.0,25.0,1,2,25.0,30-50
3,Kibo,16,369,22-Jan-24,31-Mar-24,12-Feb-24,Innovation At Every Step,Rahul Dua,technology/software,TrestleLabs Optical Character Recognition,https://www.trestlelabs.com/,2019,2,1,1,0,1,40,"Faridabad,Ahmedabad","Haryana,Gujarat",135,0.0,0,30,0.0,No,0,yes,No,No,60.0,1.0,6000.0,1,1,60.0,6.0,0,0,1000.0,2,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,30.0,3.0,0.0,Ronnie Screwvala,"Ronnie Screwvala,Radhika Gupta",0,0,1,1,1,0,0,2,0.6,60.0,10.0,1,2,10.0,30-50
3,VOLD,17,370,22-Jan-24,31-Mar-24,13-Feb-24,Innovation On Display,Rahul Dua,food and beverage,Energy Drink,https://www.voldenergy.in/,Unknown,1,1,0,0,0,25,Ahmednagar,Maharashtra,0,3.0,38,25,0.0,No,0,No,No,No,50.0,2.0,2500.0,1,1,10.0,10.0,40,3,100.0,1,No,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Unknown,Unknown,1,1,1,1,0,0,1,0,0.1,25.0,1.0,1,1,1.0,<30
